Anime_ID,Title,Genres,Type,Episodes,Producers,Studios,Score
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,Aniplex,Gainax,8.57
4566,Prism Ark Specials,"Action, Comedy, Drama, Fantasy, Magic",Special,6,"Front Line, Pencil",Unknown,6.14
4567,Armageddon,"Action, Adventure, Sci-Fi",Movie,1,Unknown,Unknown,4.04
4574,Saikyou Robot Daiouja,"Action, Sci-Fi, Mecha, Shounen",TV,50,"Sotsu, Nagoya Broadcasting Network",Sunrise,Unknown
4575,Junk Story: Tetsukuzu Monogatari,"Action, Sci-Fi, Hentai",OVA,1,Ripple Film,Unknown,4.99
4578,Time Bokan Oudou Fukko,"Action, Comedy, Mecha, Parody, Sci-Fi",OVA,2,Victor Entertainment,Tatsunoko Production,6.11
4581,Shikabane Hime: Aka,"Action, Horror, Supernatural, Shounen",TV,13,"Square Enix, Starchild Records","Gainax, feel.",7.24
4584,Topo Gigio,"Kids, Adventure, Comedy",TV,21,Unknown,Nippon Animation,6.2
4586,Daisuki! BuBu ChaCha,Kids,TV,26,Amino,Daume,7.11
4590,Soukan Yuugi,Hentai,OVA,2,"Y.O.U.C, Media Blasters",Unknown,6.75
4591,Yoiko,"Slice of Life, Comedy, Ecchi, School",TV,20,TBS,Studio Pierrot,6.3
4596,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,"Action, Military, Super Power, Mecha, School",OVA,1,"Bandai Visual, Mainichi Broadcasting System",Sunrise,7.62
4597,Kouya no Shounen Isamu,"Action, Adventure, Shounen",TV,52,"Fuji TV, Shin-Ei Animation",Unknown,6.28
4598,Urikupen Kyuujo-tai,"Adventure, Comedy, Kids",TV,156,Unknown,Tatsunoko Production,Unknown
4599,Tanoshii Willow Town,"Kids, Fantasy",TV,26,"TV Tokyo, Enoki Films",Unknown,6.24
4600,Aneki... My Sweet Elder Sister The Animation,Hentai,OVA,4,"Pink Pineapple, T-Rex",Office Takeout,6.82
4601,Fairy Forest Remi-chan,Hentai,OVA,1,Adult Source Media,Unknown,4.73
4603,Kibun Kibun,Hentai,OVA,2,Milky Animation Label,Unknown,5.69
4604,Reijou Caster: Ingyaku no Wana,Hentai,OVA,1,Unknown,Unknown,5.37
4606,Tsuki Kagerou,"Hentai, Yuri",OVA,3,Milky Animation Label,Unknown,5.51
4607,Tsuma to Mama to Boin,Hentai,OVA,2,Milky Animation Label,Flavors Soft,6.67
4608,Yuuwaku Countdown: Akira,Hentai,OVA,3,Pink Pineapple,Unknown,5.81
4614,Moero Arthur: Hakuba no Ouji,"Adventure, Romance, Historical, Drama",TV,22,Unknown,Toei Animation,6.18
4615,Yama Nezumi Rocky Chuck,"Kids, Adventure, Fantasy",TV,52,"Mushi Production, Fuji TV",Nippon Animation,6.1
4616,Yumemiru Topo Gigio,"Kids, Adventure, Comedy",TV,13,Unknown,Nippon Animation,6.06
4617,Nana Toshi Monogatari: Hokkyokukai Sensen,"Sci-Fi, Drama",OVA,2,"animate Film, Studio Junio, Sony Music Entertainment",Unknown,6.25
4618,RideBack,"Action, Drama, Mecha, School, Sci-Fi",TV,12,Geneon Universal Entertainment,Madhouse,7.29
4621,Arisubyeon-ui Kkumnamu,"Sports, Drama",Movie,1,"KBS, Shinwon Productions",Unknown,Unknown
4638,Milkyway,"Romance, Hentai",OVA,2,Lemon Heart,Unknown,5.6
4639,Gosenzo-sama Banbanzai!,"Sci-Fi, Comedy, Psychological, Drama",OVA,6,Unknown,Studio Pierrot,7.28
4640,Maroko,"Sci-Fi, Comedy, Psychological, Drama",Movie,1,Unknown,Studio Pierrot,6.33
4644,Injoku no Heya,"Hentai, Romance",OVA,1,Unknown,Unknown,5.39
4645,Kirameki no Kyoudai: Sex Crime,Hentai,OVA,1,Unknown,Unknown,5.34
4646,Cobra The Animation: The Psycho-Gun,"Action, Adventure, Mecha, Sci-Fi, Space",OVA,4,Unknown,Magic Bus,6.93
4650,Seihou Bukyou Outlaw Star Pilot,"Action, Sci-Fi, Space",Special,1,"Sotsu, Victor Entertainment",Sunrise,6.94
4651,Yume no Crayon Oukoku,"Adventure, Fantasy, Comedy, Shoujo",TV,70,Unknown,Toei Animation,6.92
4653,Shakkin Shimai,"Hentai, School",OVA,2,MS Pictures,Blue Cat,6.09
4654,Toaru Majutsu no Index,"Action, Magic, Sci-Fi, Super Power",TV,24,"Geneon Universal Entertainment, Square Enix, AT-X, ASCII Media Works, Kadokawa Contents Gate",J.C.Staff,7.44
4657,Arad Senki: Slap Up Party,"Action, Adventure, Comedy, Fantasy",TV,26,"Studio Mausu, Sotsu Music Publishing",Gonzo,6.75
4660,Yoshino no Hime,"Comedy, Fantasy, Historical, Slice of Life",ONA,1,Maru Production,Unknown,5.84
4662,Neo Angelique Abyss: Second Age,"Adventure, Fantasy, Harem, Shoujo",TV,13,Yumeta Company,Unknown,7.04
4663,Tekken Chinmi,"Action, Adventure, Historical, Martial Arts, Shounen",TV,20,"Ashi Production, Studio Jack",Production Reed,7.27
4664,Rurouni Kenshin: Special Techniques,"Action, Comedy, Samurai",Special,1,Unknown,"Gallop, Studio Deen",7.25
